student_last_name,student_first_name,student_middle_name,student_extension,birthdate,gender,grade_level,lrn,psa_birth_certificate_no,place_of_birth,mother_tongue,religion,current_house_street,current_barangay,current_city_municipality,current_province,current_country,current_zip_code,permanent_same_as_current,father_last_name,father_first_name,father_middle_name,father_contact_number,mother_maiden_last_name,mother_first_name,mother_middle_name,mother_contact_number,is_ip_community,is_4ps_beneficiary,learner_with_disability,returning_learner,transferee,last_school_attended,guardian_last_name,guardian_first_name,guardian_middle_name,guardian_email,guardian_contact,guardian_relationship,guardian_occupation,guardian_civil_status,guardian_nationality,guardian_religion,guardian_address,guardian_emergency_name,guardian_emergency_number
Santos,Miguel,Reyes,,2021-05-14,male,Preschool,136000000001,PSA-2026-0001,Iloilo City,Hiligaynon,Roman Catholic,12 Mabini St,San Isidro,Iloilo City,Iloilo,Philippines,5000,Yes,Santos,Antonio,Cruz,+639181000001,Reyes,Maria,Lopez,+639191000001,No,No,No,No,No,,Santos,Ana,Reyes,ana.santos@agape-aiis.edu.ph,+639171000001,Mother,Vendor,married,Filipino,Roman Catholic,12 Mabini St San Isidro Iloilo City,Antonio Santos,+639181000001
Reyes,Sophia,Garcia,,2021-08-22,female,Preschool,136000000002,PSA-2026-0002,Pavia,Hiligaynon,Roman Catholic,45 Rizal St,Ungka II,Pavia,Iloilo,Philippines,5001,Yes,Reyes,Joel,Martinez,+639181000002,Garcia,Elena,Santos,+639191000002,No,No,No,No,No,,Reyes,Joel,Garcia,joel.reyes@agape-aiis.edu.ph,+639171000002,Father,Driver,married,Filipino,Roman Catholic,45 Rizal St Ungka II Pavia,Elena Reyes,+639191000002
Dela Cruz,Nathaniel,Lopez,,2021-02-03,male,Preschool,136000000003,PSA-2026-0003,Oton,Hiligaynon,Christian,8 Bonifacio Ave,Poblacion South,Oton,Iloilo,Philippines,5020,Yes,Dela Cruz,Mark,Lim,+639181000003,Lopez,Carla,Tan,+639191000003,No,Yes,No,No,No,,Dela Cruz,Carla,Lopez,carla.dela.cruz@agape-aiis.edu.ph,+639171000003,Mother,Housewife,married,Filipino,Christian,8 Bonifacio Ave Poblacion South Oton,Mark Dela Cruz,+639181000003
Garcia,Isabella,Mendoza,,2019-11-12,female,Kindergarten,136000000004,PSA-2026-0004,Iloilo City,Hiligaynon,Roman Catholic,23 Burgos St,Mandurriao,Iloilo City,Iloilo,Philippines,5000,Yes,Garcia,Ramon,Diaz,+639181000004,Mendoza,Grace,Flores,+639191000004,No,No,No,No,No,,Garcia,Ramon,Mendoza,ramon.garcia@agape-aiis.edu.ph,+639171000004,Father,Security Guard,married,Filipino,Roman Catholic,23 Burgos St Mandurriao Iloilo City,Grace Garcia,+639191000004
Mendoza,Lucas,Torres,,2019-04-18,male,Kindergarten,136000000005,PSA-2026-0005,Leganes,Hiligaynon,Roman Catholic,19 Quezon St,Poblacion,Leganes,Iloilo,Philippines,5003,Yes,Mendoza,Alfredo,Ramos,+639181000005,Torres,Joanna,Cruz,+639191000005,No,No,No,No,No,,Mendoza,Joanna,Torres,joanna.mendoza@agape-aiis.edu.ph,+639171000005,Mother,Store Clerk,married,Filipino,Roman Catholic,19 Quezon St Poblacion Leganes,Alfredo Mendoza,+639181000005
Bautista,Emma,Navarro,,2018-06-09,female,1,136000000006,PSA-2026-0006,Iloilo City,Hiligaynon,Roman Catholic,31 Luna St,Jaro,Iloilo City,Iloilo,Philippines,5000,Yes,Bautista,Henry,Villanueva,+639181000006,Navarro,Pauline,Santos,+639191000006,No,No,No,No,No,,Bautista,Pauline,Navarro,pauline.bautista@agape-aiis.edu.ph,+639171000006,Mother,Teacher Aide,married,Filipino,Roman Catholic,31 Luna St Jaro Iloilo City,Henry Bautista,+639181000006
Ramos,Jacob,Flores,,2018-01-27,male,1,136000000007,PSA-2026-0007,Santa Barbara,Hiligaynon,Christian,52 Lopez Jaena St,Poblacion,Santa Barbara,Iloilo,Philippines,5002,Yes,Ramos,Edwin,Soriano,+639181000007,Flores,Melissa,Reyes,+639191000007,No,Yes,No,No,No,,Ramos,Edwin,Flores,edwin.ramos@agape-aiis.edu.ph,+639171000007,Father,Farmer,married,Filipino,Christian,52 Lopez Jaena St Poblacion Santa Barbara,Melissa Ramos,+639191000007
Aquino,Ava,Castillo,,2018-03-16,female,1,136000000008,PSA-2026-0008,Dumangas,Hiligaynon,Roman Catholic,14 Mabini Extension,Ermita,Dumangas,Iloilo,Philippines,5006,Yes,Aquino,Marvin,Garcia,+639181000008,Castillo,Rosalie,Lim,+639191000008,No,No,No,No,No,,Aquino,Rosalie,Castillo,rosalie.aquino@agape-aiis.edu.ph,+639171000008,Mother,Office Staff,married,Filipino,Roman Catholic,14 Mabini Extension Ermita Dumangas,Marvin Aquino,+639181000008
Navarro,Daniel,Santos,,2018-09-05,male,1,136000000009,PSA-2026-0009,Miagao,Kinaray-a,Roman Catholic,7 Magsaysay Rd,Mat-y,Miagao,Iloilo,Philippines,5023,Yes,Navarro,Cris,Valdez,+639181000009,Santos,Maribel,Garcia,+639191000009,No,No,No,No,Yes,Miagao Central School,Navarro,Cris,Santos,cris.navarro@agape-aiis.edu.ph,+639171000009,Father,Fisherman,married,Filipino,Roman Catholic,7 Magsaysay Rd Mat-y Miagao,Maribel Navarro,+639191000009
Torres,Mia,Ramos,,2018-12-30,female,1,136000000010,PSA-2026-0010,Passi City,Hiligaynon,Roman Catholic,88 Burgos Extension,Ilawod,Passi City,Iloilo,Philippines,5037,Yes,Torres,Gerald,Aquino,+639181000010,Ramos,Nerissa,Flores,+639191000010,No,No,No,No,No,,Torres,Nerissa,Ramos,nerissa.torres@agape-aiis.edu.ph,+639171000010,Mother,Baker,married,Filipino,Roman Catholic,88 Burgos Extension Ilawod Passi City,Gerald Torres,+639181000010
Villanueva,Ethan,Cruz,,2017-07-11,male,2,136000000011,PSA-2026-0011,Iloilo City,Hiligaynon,Roman Catholic,102 Delgado St,City Proper,Iloilo City,Iloilo,Philippines,5000,Yes,Villanueva,Oscar,Reyes,+639181000011,Cruz,Alma,Mendoza,+639191000011,No,No,No,No,No,,Villanueva,Oscar,Cruz,oscar.villanueva@agape-aiis.edu.ph,+639171000011,Father,Mechanic,married,Filipino,Roman Catholic,102 Delgado St City Proper Iloilo City,Alma Villanueva,+639191000011
Flores,Chloe,Domingo,,2017-10-02,female,2,136000000012,PSA-2026-0012,Pavia,Hiligaynon,Christian,16 General Luna St,Balabag,Pavia,Iloilo,Philippines,5001,Yes,Flores,Lito,Castillo,+639181000012,Domingo,Janice,Santos,+639191000012,No,Yes,No,No,No,,Flores,Janice,Domingo,janice.flores@agape-aiis.edu.ph,+639171000012,Mother,Laundry Worker,married,Filipino,Christian,16 General Luna St Balabag Pavia,Lito Flores,+639181000012
Castillo,Matthew,Aquino,,2017-04-25,male,2,136000000013,PSA-2026-0013,Oton,Hiligaynon,Roman Catholic,63 Rizal Ave,Trapiche,Oton,Iloilo,Philippines,5020,Yes,Castillo,Ruel,Santos,+639181000013,Aquino,Leah,Reyes,+639191000013,No,No,No,No,No,,Castillo,Leah,Aquino,leah.castillo@agape-aiis.edu.ph,+639171000013,Mother,Seamstress,married,Filipino,Roman Catholic,63 Rizal Ave Trapiche Oton,Ruel Castillo,+639181000013
Gonzales,Zoe,Bautista,,2017-02-19,female,2,136000000014,PSA-2026-0014,Iloilo City,Hiligaynon,Roman Catholic,29 Jalandoni St,La Paz,Iloilo City,Iloilo,Philippines,5000,Yes,Gonzales,Nestor,Garcia,+639181000014,Bautista,Cecilia,Lopez,+639191000014,No,No,No,No,No,,Gonzales,Nestor,Bautista,nestor.gonzales@agape-aiis.edu.ph,+639171000014,Father,Electrician,married,Filipino,Roman Catholic,29 Jalandoni St La Paz Iloilo City,Cecilia Gonzales,+639191000014
Lim,Andre,Tan,,2017-08-08,male,2,136000000015,PSA-2026-0015,Iloilo City,Hiligaynon,Buddhist,11 Iznart St,City Proper,Iloilo City,Iloilo,Philippines,5000,Yes,Lim,Victor,Ong,+639181000015,Tan,Lina,Uy,+639191000015,No,No,No,No,No,,Lim,Lina,Tan,lina.lim@agape-aiis.edu.ph,+639171000015,Mother,Bookkeeper,married,Filipino,Buddhist,11 Iznart St City Proper Iloilo City,Victor Lim,+639181000015
Tan,Olivia,Uy,,2016-06-21,female,3,136000000016,PSA-2026-0016,Iloilo City,Hiligaynon,Christian,75 Ledesma St,Jaro,Iloilo City,Iloilo,Philippines,5000,Yes,Tan,Michael,Chua,+639181000016,Uy,Kristine,Lim,+639191000016,No,No,No,No,No,,Tan,Michael,Uy,michael.tan@agape-aiis.edu.ph,+639171000016,Father,Restaurant Staff,married,Filipino,Christian,75 Ledesma St Jaro Iloilo City,Kristine Tan,+639191000016
Uy,Liam,Chua,,2016-01-13,male,3,136000000017,PSA-2026-0017,Leganes,Hiligaynon,Roman Catholic,5 Quezon Ave,Nabitasan,Leganes,Iloilo,Philippines,5003,Yes,Uy,Samuel,Tan,+639181000017,Chua,Angela,Lim,+639191000017,No,No,No,No,No,,Uy,Angela,Chua,angela.uy@agape-aiis.edu.ph,+639171000017,Mother,Pharmacy Assistant,married,Filipino,Roman Catholic,5 Quezon Ave Nabitasan Leganes,Samuel Uy,+639181000017
Soriano,Grace,Valdez,,2016-11-28,female,3,136000000018,PSA-2026-0018,Santa Barbara,Hiligaynon,Roman Catholic,40 Bonifacio St,Catmon,Santa Barbara,Iloilo,Philippines,5002,Yes,Soriano,Elmer,Ramos,+639181000018,Valdez,Sonia,Cruz,+639191000018,No,Yes,No,No,No,,Soriano,Sonia,Valdez,sonia.soriano@agape-aiis.edu.ph,+639171000018,Mother,Market Vendor,married,Filipino,Roman Catholic,40 Bonifacio St Catmon Santa Barbara,Elmer Soriano,+639181000018
Mercado,Caleb,Reyes,,2016-03-04,male,3,136000000019,PSA-2026-0019,Dumangas,Hiligaynon,Christian,26 Mabini St,Bacay,Dumangas,Iloilo,Philippines,5006,Yes,Mercado,Allan,Garcia,+639181000019,Reyes,Teresa,Flores,+639191000019,No,No,No,No,No,,Mercado,Allan,Reyes,allan.mercado@agape-aiis.edu.ph,+639171000019,Father,Carpenter,married,Filipino,Christian,26 Mabini St Bacay Dumangas,Teresa Mercado,+639191000019
Valdez,Hannah,Santiago,,2016-09-17,female,3,136000000020,PSA-2026-0020,Passi City,Hiligaynon,Roman Catholic,94 Lopez Jaena Rd,Sablogon,Passi City,Iloilo,Philippines,5037,Yes,Valdez,Rommel,Aquino,+639181000020,Santiago,Rizza,Navarro,+639191000020,No,No,No,No,Yes,Passi Elementary School,Valdez,Rizza,Santiago,rizza.valdez@agape-aiis.edu.ph,+639171000020,Mother,Cashier,married,Filipino,Roman Catholic,94 Lopez Jaena Rd Sablogon Passi City,Rommel Valdez,+639181000020
Rosario,Noah,Morales,,2015-05-02,male,4,136000000021,PSA-2026-0021,Iloilo City,Hiligaynon,Roman Catholic,38 Burgos St,Molo,Iloilo City,Iloilo,Philippines,5000,Yes,Rosario,Dennis,Lopez,+639181000021,Morales,Arlene,Cruz,+639191000021,No,No,No,No,No,,Rosario,Dennis,Morales,dennis.rosario@agape-aiis.edu.ph,+639171000021,Father,Tricycle Driver,married,Filipino,Roman Catholic,38 Burgos St Molo Iloilo City,Arlene Rosario,+639191000021
Domingo,Amelia,Garcia,,2015-12-06,female,4,136000000022,PSA-2026-0022,Pavia,Hiligaynon,Roman Catholic,17 Rizal St,Tacas,Pavia,Iloilo,Philippines,5001,Yes,Domingo,Felix,Reyes,+639181000022,Garcia,Lorna,Santos,+639191000022,No,No,No,No,No,,Domingo,Lorna,Garcia,lorna.domingo@agape-aiis.edu.ph,+639171000022,Mother,Homemaker,married,Filipino,Roman Catholic,17 Rizal St Tacas Pavia,Felix Domingo,+639181000022
